POA_CODE_2011,POA_CODE_2011,PHN_CODE,PHN_NAME,RATIO,PERCENTAGE
2665,2665,PHN110,Murrumbidgee,1,100
2666,2666,PHN110,Murrumbidgee,1,100
2668,2668,PHN110,Murrumbidgee,1,100
2669,2669,PHN110,Murrumbidgee,1,100
2671,2671,PHN110,Murrumbidgee,1,100
2672,2672,PHN107,Western NSW,0.0669816,6.698159
2672,2672,PHN110,Murrumbidgee,0.9330184,93.301841
2675,2675,PHN110,Murrumbidgee,1,100
2678,2678,PHN110,Murrumbidgee,1,100
2680,2680,PHN110,Murrumbidgee,1,100
2681,2681,PHN110,Murrumbidgee,1,100
2700,2700,PHN110,Murrumbidgee,1,100
2701,2701,PHN110,Murrumbidgee,1,100
2702,2702,PHN110,Murrumbidgee,1,100
2703,2703,PHN110,Murrumbidgee,1,100
2705,2705,PHN110,Murrumbidgee,1,100
2706,2706,PHN110,Murrumbidgee,1,100
2707,2707,PHN110,Murrumbidgee,1,100
2710,2710,PHN110,Murrumbidgee,1,100
2711,2711,PHN110,Murrumbidgee,1,100
2712,2712,PHN110,Murrumbidgee,1,100
2713,2713,PHN110,Murrumbidgee,1,100
2714,2714,PHN110,Murrumbidgee,1,100
2715,2715,PHN107,Western NSW,0.916968,91.6968008
2715,2715,PHN110,Murrumbidgee,0.083032,8.3031992
2716,2716,PHN110,Murrumbidgee,1,100
2717,2717,PHN107,Western NSW,1,100
2720,2720,PHN106,South Eastern NSW,0.0001281,0.0128093
2720,2720,PHN110,Murrumbidgee,0.9998719,99.9871907
2721,2721,PHN107,Western NSW,1,100
2722,2722,PHN110,Murrumbidgee,1,100
2725,2725,PHN110,Murrumbidgee,1,100
2726,2726,PHN110,Murrumbidgee,1,100
2727,2727,PHN110,Murrumbidgee,1,100
2729,2729,PHN110,Murrumbidgee,1,100
2730,2730,PHN110,Murrumbidgee,1,100
2731,2731,PHN110,Murrumbidgee,1,100
2732,2732,PHN110,Murrumbidgee,1,100
2733,2733,PHN110,Murrumbidgee,1,100
2735,2735,PHN110,Murrumbidgee,1,100
2736,2736,PHN110,Murrumbidgee,1,100
2737,2737,PHN107,Western NSW,1,100
2738,2738,PHN107,Western NSW,1,100
2739,2739,PHN107,Western NSW,1,100
2745,2745,PHN104,Nepean Blue Mountains,0.9394165,93.9416529
2745,2745,PHN105,South Western Sydney,0.0605835,6.0583471
2747,2747,PHN103,Western Sydney,0.0116208,1.1620756
2747,2747,PHN104,Nepean Blue Mountains,0.9883792,98.8379244
2748,2748,PHN104,Nepean Blue Mountains,1,100
2749,2749,PHN104,Nepean Blue Mountains,1,100
2750,2750,PHN104,Nepean Blue Mountains,1,100
2752,2752,PHN105,South Western Sydney,1,100
2753,2753,PHN104,Nepean Blue Mountains,1,100
2754,2754,PHN104,Nepean Blue Mountains,1,100
2756,2756,PHN103,Western Sydney,0.0474965,4.7496477
2756,2756,PHN104,Nepean Blue Mountains,0.9525035,95.2503523
2757,2757,PHN104,Nepean Blue Mountains,1,100
2758,2758,PHN104,Nepean Blue Mountains,1,100
2759,2759,PHN104,Nepean Blue Mountains,1,100
2760,2760,PHN103,Western Sydney,0.0545585,5.4558487
2760,2760,PHN104,Nepean Blue Mountains,0.9454415,94.5441513
2761,2761,PHN103,Western Sydney,1,100
2762,2762,PHN103,Western Sydney,1,100
2763,2763,PHN103,Western Sydney,1,100
2765,2765,PHN103,Western Sydney,0.6349061,63.4906104
2765,2765,PHN104,Nepean Blue Mountains,0.3650939,36.5093896
2766,2766,PHN103,Western Sydney,1,100
2767,2767,PHN103,Western Sydney,1,100
2768,2768,PHN103,Western Sydney,1,100
2769,2769,PHN103,Western Sydney,1,100
2770,2770,PHN103,Western Sydney,1,100
2773,2773,PHN104,Nepean Blue Mountains,1,100
2774,2774,PHN104,Nepean Blue Mountains,1,100
2775,2775,PHN102,Northern Sydney,0.0543964,5.439644
2775,2775,PHN103,Western Sydney,0.1871533,18.7153257
2775,2775,PHN104,Nepean Blue Mountains,0.4236416,42.3641611
2775,2775,PHN108,Hunter New England and Central Coast,0.3348087,33.4808692
2776,2776,PHN104,Nepean Blue Mountains,1,100
2777,2777,PHN104,Nepean Blue Mountains,1,100
2778,2778,PHN104,Nepean Blue Mountains,1,100
2779,2779,PHN104,Nepean Blue Mountains,1,100
2780,2780,PHN104,Nepean Blue Mountains,1,100
2782,2782,PHN104,Nepean Blue Mountains,1,100
2783,2783,PHN104,Nepean Blue Mountains,1,100
2784,2784,PHN104,Nepean Blue Mountains,1,100
2785,2785,PHN104,Nepean Blue Mountains,1,100
2786,2786,PHN104,Nepean Blue Mountains,1,100
2787,2787,PHN104,Nepean Blue Mountains,0.0030803,0.3080332
2787,2787,PHN105,South Western Sydney,0.0016585,0.1658461
2787,2787,PHN107,Western NSW,0.9952612,99.5261208
2790,2790,PHN104,Nepean Blue Mountains,1,100
2791,2791,PHN107,Western NSW,1,100
2792,2792,PHN107,Western NSW,1,100
2793,2793,PHN107,Western NSW,1,100
2794,2794,PHN107,Western NSW,1,100
2795,2795,PHN104,Nepean Blue Mountains,0.0091784,0.9178393
2795,2795,PHN107,Western NSW,0.9908216,99.0821607
2797,2797,PHN107,Western NSW,1,100
2798,2798,PHN107,Western NSW,1,100
2799,2799,PHN107,Western NSW,1,100
2800,2800,PHN107,Western NSW,1,100
2803,2803,PHN110,Murrumbidgee,1,100
2804,2804,PHN107,Western NSW,1,100
2805,2805,PHN107,Western NSW,1,100
2806,2806,PHN107,Western NSW,1,100
2807,2807,PHN110,Murrumbidgee,1,100
2808,2808,PHN107,Western NSW,1,100
2809,2809,PHN107,Western NSW,1,100
2810,2810,PHN107,Western NSW,1,100
2820,2820,PHN107,Western NSW,1,100
2821,2821,PHN107,Western NSW,1,100
2823,2823,PHN107,Western NSW,1,100
2824,2824,PHN107,Western NSW,1,100
2825,2825,PHN107,Western NSW,1,100
2827,2827,PHN107,Western NSW,1,100
2828,2828,PHN107,Western NSW,1,100
2829,2829,PHN107,Western NSW,1,100
2830,2830,PHN107,Western NSW,1,100
2831,2831,PHN107,Western NSW,1,100
2832,2832,PHN107,Western NSW,1,100
2833,2833,PHN107,Western NSW,1,100
2834,2834,PHN107,Western NSW,1,100
2835,2835,PHN107,Western NSW,1,100
2836,2836,PHN107,Western NSW,1,100
2839,2839,PHN107,Western NSW,1,100
2840,2840,PHN107,Western NSW,1,100
2842,2842,PHN107,Western NSW,1,100
2843,2843,PHN107,Western NSW,1,100
2844,2844,PHN107,Western NSW,1,100
2845,2845,PHN104,Nepean Blue Mountains,1,100
2846,2846,PHN104,Nepean Blue Mountains,1,100
2847,2847,PHN104,Nepean Blue Mountains,1,100
2848,2848,PHN104,Nepean Blue Mountains,0.0052105,0.5210479
2848,2848,PHN107,Western NSW,0.9947895,99.4789521
2849,2849,PHN104,Nepean Blue Mountains,0.1805202,18.0520227
2849,2849,PHN107,Western NSW,0.8194791,81.9479148
2850,2850,PHN107,Western NSW,0.9999999,99.9999875
2852,2852,PHN107,Western NSW,1,100
2864,2864,PHN107,Western NSW,1,100
2865,2865,PHN107,Western NSW,1,100
2866,2866,PHN107,Western NSW,1,100
2867,2867,PHN107,Western NSW,1,100
2868,2868,PHN107,Western NSW,1,100
2869,2869,PHN107,Western NSW,1,100
2870,2870,PHN107,Western NSW,1,100
2871,2871,PHN107,Western NSW,1,100
2873,2873,PHN107,Western NSW,1,100
2874,2874,PHN107,Western NSW,1,100
2875,2875,PHN107,Western NSW,1,100
2876,2876,PHN107,Western NSW,1,100
2877,2877,PHN107,Western NSW,1,100
2878,2878,PHN107,Western NSW,1,100
2879,2879,PHN107,Western NSW,1,100
2880,2880,PHN107,Western NSW,1,100
2898,2898,PHN101,Central and Eastern Sydney,1,100
2900,2900,PHN801,Australian Capital Territory,1,100
2902,2902,PHN801,Australian Capital Territory,1,100
2903,2903,PHN801,Australian Capital Territory,1,100
2904,2904,PHN801,Australian Capital Territory,1,100
2905,2905,PHN801,Australian Capital Territory,1,100
2906,2906,PHN801,Australian Capital Territory,1,100
2911,2911,PHN801,Australian Capital Territory,1,100
2912,2912,PHN801,Australian Capital Territory,1,100
2913,2913,PHN801,Australian Capital Territory,1,100
2914,2914,PHN801,Australian Capital Territory,1,100
3000,3000,PHN201,North Western Melbourne,1,100
3002,3002,PHN201,North Western Melbourne,1,100
3003,3003,PHN201,North Western Melbourne,1,100
3004,3004,PHN201,North Western Melbourne,0.2223229,22.2322854
3004,3004,PHN203,South Eastern Melbourne,0.7776771,77.7677146
3005,3005,PHN201,North Western Melbourne,1,100
3006,3006,PHN201,North Western Melbourne,1,100
3008,3008,PHN201,North Western Melbourne,1,100
3010,3010,PHN201,North Western Melbourne,1,100
3011,3011,PHN201,North Western Melbourne,1,100
3012,3012,PHN201,North Western Melbourne,1,100
3013,3013,PHN201,North Western Melbourne,1,100
3015,3015,PHN201,North Western Melbourne,1,100
3016,3016,PHN201,North Western Melbourne,1,100
3018,3018,PHN201,North Western Melbourne,1,100
3019,3019,PHN201,North Western Melbourne,1,100
3020,3020,PHN201,North Western Melbourne,1,100
3021,3021,PHN201,North Western Melbourne,1,100
3022,3022,PHN201,North Western Melbourne,1,100
3023,3023,PHN201,North Western Melbourne,1,100
3024,3024,PHN201,North Western Melbourne,1,100
3025,3025,PHN201,North Western Melbourne,1,100
3026,3026,PHN201,North Western Melbourne,1,100
3027,3027,PHN201,North Western Melbourne,1,100
3028,3028,PHN201,North Western Melbourne,1,100
3029,3029,PHN201,North Western Melbourne,1,100
3030,3030,PHN201,North Western Melbourne,1,100
3031,3031,PHN201,North Western Melbourne,1,100
3032,3032,PHN201,North Western Melbourne,1,100
3033,3033,PHN201,North Western Melbourne,1,100
3034,3034,PHN201,North Western Melbourne,1,100
3036,3036,PHN201,North Western Melbourne,1,100
3037,3037,PHN201,North Western Melbourne,1,100
3038,3038,PHN201,North Western Melbourne,1,100
3039,3039,PHN201,North Western Melbourne,1,100
3040,3040,PHN201,North Western Melbourne,1,100
3041,3041,PHN201,North Western Melbourne,1,100
3042,3042,PHN201,North Western Melbourne,1,100
3043,3043,PHN201,North Western Melbourne,1,100
3044,3044,PHN201,North Western Melbourne,1,100
3045,3045,PHN201,North Western Melbourne,1,100
3046,3046,PHN201,North Western Melbourne,1,100
3047,3047,PHN201,North Western Melbourne,1,100
3048,3048,PHN201,North Western Melbourne,1,100
3049,3049,PHN201,North Western Melbourne,1,100
3051,3051,PHN201,North Western Melbourne,1,100
3052,3052,PHN201,North Western Melbourne,1,100
3053,3053,PHN201,North Western Melbourne,1,100
3054,3054,PHN201,North Western Melbourne,1,100
3055,3055,PHN201,North Western Melbourne,1,100
3056,3056,PHN201,North Western Melbourne,1,100
3057,3057,PHN201,North Western Melbourne,1,100
3058,3058,PHN201,North Western Melbourne,1,100
3059,3059,PHN201,North Western Melbourne,1,100
3060,3060,PHN201,North Western Melbourne,1,100
3061,3061,PHN201,North Western Melbourne,1,100
3062,3062,PHN201,North Western Melbourne,1,100
3063,3063,PHN201,North Western Melbourne,1,100
3064,3064,PHN201,North Western Melbourne,1,100
3065,3065,PHN201,North Western Melbourne,1,100
3066,3066,PHN201,North Western Melbourne,1,100
3067,3067,PHN201,North Western Melbourne,1,100
3068,3068,PHN201,North Western Melbourne,1,100
3070,3070,PHN201,North Western Melbourne,1,100
3071,3071,PHN201,North Western Melbourne,1,100
3072,3072,PHN201,North Western Melbourne,1,100
3073,3073,PHN201,North Western Melbourne,1,100
3074,3074,PHN202,Eastern Melbourne,1,100
3075,3075,PHN202,Eastern Melbourne,1,100
3076,3076,PHN202,Eastern Melbourne,1,100
3078,3078,PHN201,North Western Melbourne,1,100
3079,3079,PHN202,Eastern Melbourne,1,100
3081,3081,PHN202,Eastern Melbourne,1,100
3082,3082,PHN202,Eastern Melbourne,1,100
3083,3083,PHN201,North Western Melbourne,0.2491448,24.9144771
3083,3083,PHN202,Eastern Melbourne,0.7508552,75.0855229
3084,3084,PHN202,Eastern Melbourne,1,100
3085,3085,PHN201,North Western Melbourne,0.1719189,17.1918928
3085,3085,PHN202,Eastern Melbourne,0.8280811,82.8081072
3086,3086,PHN201,North Western Melbourne,1,100
3087,3087,PHN202,Eastern Melbourne,1,100
3088,3088,PHN202,Eastern Melbourne,1,100
3089,3089,PHN202,Eastern Melbourne,1,100
3090,3090,PHN202,Eastern Melbourne,1,100
3091,3091,PHN202,Eastern Melbourne,1,100
3093,3093,PHN202,Eastern Melbourne,1,100
3094,3094,PHN202,Eastern Melbourne,1,100
3095,3095,PHN202,Eastern Melbourne,1,100
3096,3096,PHN202,Eastern Melbourne,1,100
3097,3097,PHN202,Eastern Melbourne,1,100
3099,3099,PHN202,Eastern Melbourne,1,100
3101,3101,PHN202,Eastern Melbourne,1,100
3102,3102,PHN202,Eastern Melbourne,1,100
3103,3103,PHN202,Eastern Melbourne,1,100
3104,3104,PHN202,Eastern Melbourne,1,100
3105,3105,PHN202,Eastern Melbourne,1,100
3106,3106,PHN202,Eastern Melbourne,1,100
3107,3107,PHN202,Eastern Melbourne,1,100
3108,3108,PHN202,Eastern Melbourne,1,100
3109,3109,PHN202,Eastern Melbourne,1,100
3111,3111,PHN202,Eastern Melbourne,1,100
3113,3113,PHN202,Eastern Melbourne,1,100
3114,3114,PHN202,Eastern Melbourne,1,100
3115,3115,PHN202,Eastern Melbourne,1,100
3116,3116,PHN202,Eastern Melbourne,1,100
3121,3121,PHN201,North Western Melbourne,1,100
3122,3122,PHN202,Eastern Melbourne,1,100
3123,3123,PHN202,Eastern Melbourne,1,100
3124,3124,PHN202,Eastern Melbourne,1,100
3125,3125,PHN202,Eastern Melbourne,1,100
3126,3126,PHN202,Eastern Melbourne,1,100
3127,3127,PHN202,Eastern Melbourne,1,100
3128,3128,PHN202,Eastern Melbourne,1,100
3129,3129,PHN202,Eastern Melbourne,1,100
3130,3130,PHN202,Eastern Melbourne,1,100
3131,3131,PHN202,Eastern Melbourne,1,100
3132,3132,PHN202,Eastern Melbourne,1,100
3133,3133,PHN202,Eastern Melbourne,1,100
3134,3134,PHN202,Eastern Melbourne,1,100
3135,3135,PHN202,Eastern Melbourne,1,100
3136,3136,PHN202,Eastern Melbourne,1,100
3137,3137,PHN202,Eastern Melbourne,1,100
3138,3138,PHN202,Eastern Melbourne,1,100
3139,3139,PHN202,Eastern Melbourne,1,100
3140,3140,PHN202,Eastern Melbourne,1,100
3141,3141,PHN201,North Western Melbourne,0.2336032,23.3603238
3141,3141,PHN203,South Eastern Melbourne,0.7663968,76.6396762
3142,3142,PHN203,South Eastern Melbourne,1,100
3143,3143,PHN203,South Eastern Melbourne,1,100
3144,3144,PHN203,South Eastern Melbourne,1,100
3145,3145,PHN203,South Eastern Melbourne,1,100
3146,3146,PHN202,Eastern Melbourne,0.6394091,63.940913
3146,3146,PHN203,South Eastern Melbourne,0.3605909,36.059087
3147,3147,PHN202,Eastern Melbourne,1,100
3148,3148,PHN202,Eastern Melbourne,1,100
3149,3149,PHN202,Eastern Melbourne,1,100
3150,3150,PHN202,Eastern Melbourne,1,100
3151,3151,PHN202,Eastern Melbourne,1,100
3152,3152,PHN202,Eastern Melbourne,1,100
3153,3153,PHN202,Eastern Melbourne,1,100
3154,3154,PHN202,Eastern Melbourne,1,100
3155,3155,PHN202,Eastern Melbourne,1,100
3156,3156,PHN202,Eastern Melbourne,0.9740569,97.4056929
3156,3156,PHN203,South Eastern Melbourne,0.0259431,2.5943071
3158,3158,PHN202,Eastern Melbourne,1,100
3159,3159,PHN202,Eastern Melbourne,1,100
3160,3160,PHN202,Eastern Melbourne,1,100
3161,3161,PHN203,South Eastern Melbourne,1,100
3162,3162,PHN203,South Eastern Melbourne,1,100
3163,3163,PHN203,South Eastern Melbourne,1,100
3165,3165,PHN203,South Eastern Melbourne,1,100
3166,3166,PHN202,Eastern Melbourne,0.6844348,68.4434831
3166,3166,PHN203,South Eastern Melbourne,0.3155652,31.5565169
3167,3167,PHN202,Eastern Melbourne,0.5408014,54.0801427
3167,3167,PHN203,South Eastern Melbourne,0.4591986,45.9198573
3168,3168,PHN202,Eastern Melbourne,1,100
3169,3169,PHN203,South Eastern Melbourne,1,100
3170,3170,PHN202,Eastern Melbourne,1,100
3171,3171,PHN203,South Eastern Melbourne,1,100
3172,3172,PHN203,South Eastern Melbourne,1,100
3173,3173,PHN203,South Eastern Melbourne,1,100
3174,3174,PHN203,South Eastern Melbourne,1,100
3175,3175,PHN203,South Eastern Melbourne,1,100
3177,3177,PHN203,South Eastern Melbourne,1,100
3178,3178,PHN202,Eastern Melbourne,1,100
3179,3179,PHN202,Eastern Melbourne,1,100
3180,3180,PHN202,Eastern Melbourne,1,100
3181,3181,PHN203,South Eastern Melbourne,1,100
3182,3182,PHN203,South Eastern Melbourne,1,100
3183,3183,PHN203,South Eastern Melbourne,1,100
3184,3184,PHN203,South Eastern Melbourne,1,100
3185,3185,PHN203,South Eastern Melbourne,1,100
3186,3186,PHN203,South Eastern Melbourne,1,100
3187,3187,PHN203,South Eastern Melbourne,1,100
3188,3188,PHN203,South Eastern Melbourne,1,100
3189,3189,PHN203,South Eastern Melbourne,1,100
3190,3190,PHN203,South Eastern Melbourne,1,100
3191,3191,PHN203,South Eastern Melbourne,1,100
3192,3192,PHN203,South Eastern Melbourne,1,100
3193,3193,PHN203,South Eastern Melbourne,1,100
3194,3194,PHN203,South Eastern Melbourne,1,100
3195,3195,PHN203,South Eastern Melbourne,1,100
3196,3196,PHN203,South Eastern Melbourne,1,100
3197,3197,PHN203,South Eastern Melbourne,1,100
3198,3198,PHN203,South Eastern Melbourne,1,100
3199,3199,PHN203,South Eastern Melbourne,1,100
3200,3200,PHN203,South Eastern Melbourne,1,100
3201,3201,PHN203,South Eastern Melbourne,1,100
3202,3202,PHN203,South Eastern Melbourne,1,100
3204,3204,PHN203,South Eastern Melbourne,1,100
3205,3205,PHN203,South Eastern Melbourne,1,100
3206,3206,PHN203,South Eastern Melbourne,1,100
3207,3207,PHN203,South Eastern Melbourne,1,100
3211,3211,PHN201,North Western Melbourne,0.6190825,61.9082496
3211,3211,PHN206,Western Victoria,0.3809175,38.0917504
3212,3212,PHN206,Western Victoria,1,100
3214,3214,PHN206,Western Victoria,1,100
3215,3215,PHN206,Western Victoria,1,100
3216,3216,PHN206,Western Victoria,1,100
3217,3217,PHN206,Western Victoria,1,100
3218,3218,PHN206,Western Victoria,1,100
3219,3219,PHN206,Western Victoria,1,100
3220,3220,PHN206,Western Victoria,1,100
3221,3221,PHN206,Western Victoria,1,100
3222,3222,PHN206,Western Victoria,1,100
3223,3223,PHN206,Western Victoria,1,100
3224,3224,PHN206,Western Victoria,1,100
3225,3225,PHN206,Western Victoria,1,100
3226,3226,PHN206,Western Victoria,1,100
3227,3227,PHN206,Western Victoria,1,100
3228,3228,PHN206,Western Victoria,1,100
3230,3230,PHN206,Western Victoria,1,100
3231,3231,PHN206,Western Victoria,1,100
3232,3232,PHN206,Western Victoria,1,100
3233,3233,PHN206,Western Victoria,1,100
3235,3235,PHN206,Western Victoria,1,100
3236,3236,PHN206,Western Victoria,1,100
3237,3237,PHN206,Western Victoria,1,100
3238,3238,PHN206,Western Victoria,1,100
3239,3239,PHN206,Western Victoria,1,100
3240,3240,PHN206,Western Victoria,1,100
3241,3241,PHN206,Western Victoria,1,100
3242,3242,PHN206,Western Victoria,1,100
3243,3243,PHN206,Western Victoria,1,100
3249,3249,PHN206,Western Victoria,1,100
3250,3250,PHN206,Western Victoria,1,100
3251,3251,PHN206,Western Victoria,1,100
3254,3254,PHN206,Western Victoria,1,100
3260,3260,PHN206,Western Victoria,1,100
3264,3264,PHN206,Western Victoria,1,100
3265,3265,PHN206,Western Victoria,1,100
3266,3266,PHN206,Western Victoria,1,100
3267,3267,PHN206,Western Victoria,1,100
3268,3268,PHN206,Western Victoria,1,100
3269,3269,PHN206,Western Victoria,1,100
3270,3270,PHN206,Western Victoria,1,100
3272,3272,PHN206,Western Victoria,1,100
3273,3273,PHN206,Western Victoria,1,100
3274,3274,PHN206,Western Victoria,1,100
3275,3275,PHN206,Western Victoria,1,100
3276,3276,PHN206,Western Victoria,1,100
3277,3277,PHN206,Western Victoria,1,100
3278,3278,PHN206,Western Victoria,1,100
3280,3280,PHN206,Western Victoria,1,100
3281,3281,PHN206,Western Victoria,1,100
3282,3282,PHN206,Western Victoria,1,100
3283,3283,PHN206,Western Victoria,1,100
3284,3284,PHN206,Western Victoria,1,100
3285,3285,PHN206,Western Victoria,1,100
3286,3286,PHN206,Western Victoria,1,100
3287,3287,PHN206,Western Victoria,1,100
3289,3289,PHN206,Western Victoria,1,100
3292,3292,PHN206,Western Victoria,1,100
3293,3293,PHN206,Western Victoria,1,100
3294,3294,PHN206,Western Victoria,1,100
3300,3300,PHN206,Western Victoria,1,100
3301,3301,PHN206,Western Victoria,1,100
3302,3302,PHN206,Western Victoria,1,100
3303,3303,PHN206,Western Victoria,1,100
3304,3304,PHN206,Western Victoria,1,100
3305,3305,PHN206,Western Victoria,1,100
3309,3309,PHN206,Western Victoria,1,100
3310,3310,PHN206,Western Victoria,1,100
3311,3311,PHN206,Western Victoria,1,100
3312,3312,PHN206,Western Victoria,1,100
3314,3314,PHN206,Western Victoria,1,100
3315,3315,PHN206,Western Victoria,1,100
3317,3317,PHN206,Western Victoria,1,100
3318,3318,PHN206,Western Victoria,1,100
3319,3319,PHN206,Western Victoria,1,100
3321,3321,PHN206,Western Victoria,1,100
3324,3324,PHN206,Western Victoria,1,100
3325,3325,PHN206,Western Victoria,1,100
3328,3328,PHN206,Western Victoria,1,100
3329,3329,PHN206,Western Victoria,1,100
3330,3330,PHN206,Western Victoria,1,100
3331,3331,PHN206,Western Victoria,1,100
3332,3332,PHN206,Western Victoria,1,100
3333,3333,PHN206,Western Victoria,1,100
3334,3334,PHN206,Western Victoria,1,100
3335,3335,PHN201,North Western Melbourne,1,100
3337,3337,PHN201,North Western Melbourne,1,100
3338,3338,PHN201,North Western Melbourne,1,100
3340,3340,PHN201,North Western Melbourne,0.9533759,95.3375877
3340,3340,PHN206,Western Victoria,0.0466241,4.6624123
3341,3341,PHN206,Western Victoria,1,100
3342,3342,PHN206,Western Victoria,1,100
3345,3345,PHN206,Western Victoria,1,100
3350,3350,PHN206,Western Victoria,1,100
3351,3351,PHN206,Western Victoria,1,100
3352,3352,PHN206,Western Victoria,1,100
3355,3355,PHN206,Western Victoria,1,100
3356,3356,PHN206,Western Victoria,1,100
3357,3357,PHN206,Western Victoria,1,100
3360,3360,PHN206,Western Victoria,1,100
3361,3361,PHN206,Western Victoria,1,100
3363,3363,PHN206,Western Victoria,1,100
3364,3364,PHN206,Western Victoria,1,100
3370,3370,PHN206,Western Victoria,1,100
3371,3371,PHN206,Western Victoria,1,100
3373,3373,PHN206,Western Victoria,1,100
3374,3374,PHN206,Western Victoria,1,100
3375,3375,PHN206,Western Victoria,1,100
3377,3377,PHN206,Western Victoria,1,100
3378,3378,PHN206,Western Victoria,1,100
3379,3379,PHN206,Western Victoria,1,100
3380,3380,PHN206,Western Victoria,1,100
3381,3381,PHN206,Western Victoria,1,100
3384,3384,PHN206,Western Victoria,1,100
3385,3385,PHN206,Western Victoria,1,100
3387,3387,PHN206,Western Victoria,1,100
3388,3388,PHN206,Western Victoria,1,100
3390,3390,PHN206,Western Victoria,1,100
3391,3391,PHN206,Western Victoria,1,100
3392,3392,PHN206,Western Victoria,1,100
3393,3393,PHN206,Western Victoria,1,100
3395,3395,PHN206,Western Victoria,1,100
3396,3396,PHN206,Western Victoria,1,100
3400,3400,PHN206,Western Victoria,1,100
3401,3401,PHN206,Western Victoria,1,100
3407,3407,PHN206,Western Victoria,1,100
3409,3409,PHN206,Western Victoria,1,100
3412,3412,PHN206,Western Victoria,1,100
3413,3413,PHN206,Western Victoria,1,100
3414,3414,PHN206,Western Victoria,1,100
3418,3418,PHN206,Western Victoria,1,100
3419,3419,PHN206,Western Victoria,1,100
3420,3420,PHN206,Western Victoria,1,100
3423,3423,PHN206,Western Victoria,1,100
3424,3424,PHN206,Western Victoria,1,100
3427,3427,PHN201,North Western Melbourne,1,100
3428,3428,PHN201,North Western Melbourne,1,100
3429,3429,PHN201,North Western Melbourne,1,100
3430,3430,PHN201,North Western Melbourne,1,100
3431,3431,PHN201,North Western Melbourne,1,100
3433,3433,PHN201,North Western Melbourne,1,100
3434,3434,PHN201,North Western Melbourne,1,100
3435,3435,PHN201,North Western Melbourne,1,100
3437,3437,PHN201,North Western Melbourne,1,100
3438,3438,PHN201,North Western Melbourne,1,100
3440,3440,PHN201,North Western Melbourne,1,100
3441,3441,PHN201,North Western Melbourne,1,100
3442,3442,PHN201,North Western Melbourne,0.0447846,4.4784647
3442,3442,PHN205,Murray,0.9552154,95.5215353
3444,3444,PHN205,Murray,1,100
3446,3446,PHN205,Murray,1,100
3447,3447,PHN205,Murray,1,100
3448,3448,PHN205,Murray,1,100
3450,3450,PHN205,Murray,1,100
3451,3451,PHN205,Murray,1,100
3453,3453,PHN205,Murray,1,100
3458,3458,PHN206,Western Victoria,1,100
3460,3460,PHN206,Western Victoria,1,100
3461,3461,PHN206,Western Victoria,1,100
3462,3462,PHN205,Murray,1,100
3463,3463,PHN205,Murray,1,100
3464,3464,PHN206,Western Victoria,1,100
3465,3465,PHN206,Western Victoria,1,100
3467,3467,PHN206,Western Victoria,1,100
3468,3468,PHN206,Western Victoria,1,100
3469,3469,PHN206,Western Victoria,1,100
3472,3472,PHN206,Western Victoria,1,100
3475,3475,PHN206,Western Victoria,1,100
3477,3477,PHN206,Western Victoria,1,100
3478,3478,PHN206,Western Victoria,1,100
3480,3480,PHN205,Murray,1,100
3482,3482,PHN205,Murray,1,100
3483,3483,PHN205,Murray,1,100
3485,3485,PHN206,Western Victoria,1,100
3490,3490,PHN205,Murray,0.9999991,99.9999082
3491,3491,PHN206,Western Victoria,1,100
3494,3494,PHN205,Murray,1,100
3496,3496,PHN205,Murray,1,100
3498,3498,PHN205,Murray,1,100
3500,3500,PHN205,Murray,1,100
3501,3501,PHN205,Murray,1,100
3505,3505,PHN205,Murray,1,100
3507,3507,PHN205,Murray,1,100
3509,3509,PHN205,Murray,1,100
3512,3512,PHN205,Murray,1,100
3515,3515,PHN205,Murray,1,100
3516,3516,PHN205,Murray,1,100
3517,3517,PHN205,Murray,1,100
3518,3518,PHN205,Murray,1,100
3520,3520,PHN205,Murray,1,100
3521,3521,PHN205,Murray,1,100
3522,3522,PHN205,Murray,1,100
3523,3523,PHN205,Murray,1,100
3525,3525,PHN205,Murray,1,100
3527,3527,PHN205,Murray,1,100
3530,3530,PHN205,Murray,1,100
3531,3531,PHN205,Murray,1,100
3533,3533,PHN205,Murray,1,100
3537,3537,PHN205,Murray,1,100
3540,3540,PHN205,Murray,1,100
3542,3542,PHN205,Murray,1,100
3544,3544,PHN205,Murray,1,100
3546,3546,PHN205,Murray,1,100
3549,3549,PHN205,Murray,1,100
3550,3550,PHN205,Murray,1,100
3551,3551,PHN205,Murray,1,100
3555,3555,PHN205,Murray,1,100
3556,3556,PHN205,Murray,1,100
3557,3557,PHN205,Murray,1,100
3558,3558,PHN205,Murray,1,100
3559,3559,PHN205,Murray,1,100
3561,3561,PHN205,Murray,1,100
3562,3562,PHN205,Murray,1,100
3563,3563,PHN205,Murray,1,100
3564,3564,PHN205,Murray,1,100
3566,3566,PHN205,Murray,1,100
3567,3567,PHN205,Murray,1,100
3568,3568,PHN205,Murray,1,100
3570,3570,PHN205,Murray,1,100
3571,3571,PHN205,Murray,1,100
3572,3572,PHN205,Murray,1,100
3573,3573,PHN205,Murray,1,100
3575,3575,PHN205,Murray,1,100
3579,3579,PHN205,Murray,1,100
3580,3580,PHN205,Murray,1,100
3581,3581,PHN205,Murray,1,100
